group,standardization,networks,k,state_idx,VIS,SMN,DAN,VAN,LIM,FPN,DMN,fractional_occupancy,corresponding_state_bygroup,bygroup_overlap,corresponding_state_control,control_overlap,corresponding_state_k5,k5_overlap,corresponding_state_global,global_overlap,SUB
meditators,global,7,4,0,-0.5767150855587968,-0.31134328735292655,-0.01464348608180549,0.06904789213338627,0.020794664413991665,0.13012051805565547,0.2045798708180577,0.1993698332589185,1.0,0.9524351605079777,3.0,0.6546035242235457,2.0,0.9455706753486242,,,
meditators,global,7,4,1,-0.26989110919802317,-0.2796432285020414,-0.08212475893999525,-0.25204562362964916,0.7110164620895183,-0.04538631369100766,0.016344664085224586,0.1912371673483154,3.0,0.6559110352987564,2.0,0.8557834237520312,0.0,0.7761623413087162,,,
meditators,global,7,4,2,0.3948083412801476,0.5554871020311627,-0.015230653961793765,0.05818908931739377,0.04406067292553432,-0.025881650298485197,-0.10923646750748359,0.38281233069534737,2.0,0.9027692002446163,1.0,0.908197736272677,1.0,0.9784361337885552,,,
meditators,global,7,4,3,0.030346593785963806,-0.5034457124072949,0.11125577393697725,0.04217728596315916,-0.7030257438016716,-0.03371684550551531,-0.0005097552053803221,0.2265806686974186,0.0,0.9919254329181286,0.0,0.5901052024182206,3.0,0.8637708107171885,,,
meditators,bygroup,7,4,0,0.11454435190621776,-0.49959843588169794,0.0505688925480215,0.011748160310451087,-0.5867638366029938,-0.012768886761109913,-0.020550388273784054,0.24796732540695238,,,3.0,0.6546035242235457,2.0,0.9292661625020151,3.0,0.9919254329181286,
meditators,bygroup,7,4,1,-0.5277740508153074,-0.6475257531076575,-0.013705775819670127,-0.08013607901168422,0.07200779922265167,0.06108509649578593,0.19477683496471604,0.20789180338443236,,,2.0,0.8557834237520312,4.0,0.9974142086930882,0.0,0.9524351605079777,
meditators,bygroup,7,4,2,0.6206939999911909,0.4980700237430663,0.13458760148330426,-0.23868738418261115,0.06665149823482212,0.058450625870947424,0.03690775082173008,0.2507081252465895,,,1.0,0.908197736272677,0.0,0.928379604584712,2.0,0.9027692002446163,
meditators,bygroup,7,4,3,-0.26481848995201035,0.426212144263164,-0.1467471776840315,0.2473495813591,0.37794511921794816,-0.08046679234065146,-0.14617449033510932,0.29343274596202584,,,0.0,0.5901052024182206,1.0,0.6748461153946669,1.0,0.6559110352987564,
controls,global,7,4,0,-0.7512985876004487,-0.23260918940029573,-0.027450674747843903,-0.08459273576967974,-0.05606488209880844,0.013713487733880498,-0.1013334814806158,0.1800456855000348,2.0,0.9979360282423072,,,1.0,0.9993807514216998,,,
controls,global,7,4,1,-0.38170443802226983,0.19797126041561855,0.19162222746543825,-0.5191204046209361,0.31341381200756513,-0.006360769019746737,-0.19220857505440506,0.23595010242780218,0.0,0.9784604526974381,,,3.0,0.9799631349569293,,,
controls,global,7,4,2,-0.3256659731459676,-0.03101421317062298,-0.4064504581809481,0.539408448173261,-0.3137148319738084,-0.06863845557589227,0.2103034992156598,0.2267200441479634,3.0,0.9924401975406507,,,2.0,0.9977674452890894,,,
controls,global,7,4,3,0.7787387306505308,0.004678442607135998,0.1327421672277998,0.044233073937073555,0.016444920438956012,0.0377678071919189,0.042947894722574285,0.3572841679241997,1.0,0.9768971141778882,,,0.0,0.9466318638322004,,,
controls,bygroup,7,4,0,-0.3770074059861305,0.005141821014340299,0.3168006731054605,-0.5543254892498556,0.3302585841089456,0.04105832591727457,-0.24114069929369636,0.22325361266553884,,,,,1.0,0.9904009223196814,1.0,0.9784604526974381,
controls,bygroup,7,4,1,0.7940451662206531,0.20288258927303068,0.07466049375913016,0.00949323206540673,0.042412209613347074,0.008950299378872185,0.026117772863625047,0.3359853193766751,,,,,2.0,0.9893157962766825,3.0,0.9768971141778882,
controls,bygroup,7,4,2,-0.7424388180789402,-0.2066312196182888,-0.03215313104742327,-0.08207326263423788,-0.017229368342174808,-0.013997105284759047,-0.06483905513699036,0.18430994597364317,,,,,3.0,0.9973276132665634,0.0,0.9979360282423072,
controls,bygroup,7,4,3,-0.24531971303419034,-0.13598326151163062,-0.34705533674767075,0.5131707664368246,-0.324553037814169,-0.036889638936775694,0.21382922177630298,0.25645112198414294,,,,,4.0,0.9520729241588666,2.0,0.9924401975406507,
meditators,global,7,5,0,-0.5910001247640825,0.49131161171506343,-0.037148607893669375,-0.17749001256436286,0.5164693272829493,0.17939538403592162,0.1844711613118291,0.19189909711582226,3.0,0.8601518870948817,2.0,0.9153148994902782,,,,,
meditators,global,7,5,1,0.7135000925369316,0.6617776580069652,0.09575543455334722,0.11163064021942372,0.03370394906132415,0.0699456917555742,-0.20138691420784782,0.2525525676556314,1.0,0.9656430035154753,0.0,0.7985570166115299,,,,,
meditators,global,7,5,2,-0.4510360164664665,-0.6011772202096066,-0.028485617914593968,-0.04834098177717965,0.014243270790122158,0.0026950669747054404,0.1367600621041096,0.18225526405540657,4.0,0.9990023569999162,4.0,0.7842880717497202,,,,,
meditators,global,7,5,3,-0.40523052546082006,-0.17248456541308657,0.06267475408706907,0.21350080191735674,-0.7509240053280297,-0.011520799058862437,0.2217080724508792,0.18291575062796608,2.0,0.9472246672494984,1.0,0.8826968128433765,,,,,
meditators,global,7,5,4,0.4018880564145906,-0.6403316009220047,-0.12233674771709457,-0.12507230899991492,0.11794087119559243,-0.25940390974430483,-0.23593156480508556,0.19037732054517378,0.0,0.6624125351137441,3.0,0.8360752233862175,,,,,
meditators,bygroup,7,5,0,0.3861612570978042,0.1255894960428819,-0.2783641223018328,-0.2770620263993462,-0.17766440156746444,-0.274441160675518,-0.5022990598647722,0.17465638893466745,,,2.0,0.9153148994902782,,,4.0,0.6624125351137441,
meditators,bygroup,7,5,1,0.4679048178408511,0.6904930211662773,0.061940066150933816,0.23768703802182284,0.0864266371533498,0.07738507027218071,-0.012097062082329272,0.2775818250041232,,,0.0,0.7985570166115299,,,1.0,0.9656430035154753,
meditators,bygroup,7,5,2,-0.24522038652092723,-0.5171684901961915,0.051285453940880084,0.13223370230420783,-0.7142004010628581,0.05751207017224722,0.13668240771148102,0.18118604224831852,,,4.0,0.7842880717497202,,,3.0,0.9472246672494984,
meditators,bygroup,7,5,3,-0.452018561049118,-0.11482078762539705,0.16967800912651787,-0.15000765658614923,0.7603547420682933,0.1030839754844328,0.2411689643633952,0.1820224339829229,,,1.0,0.8826968128433765,,,0.0,0.8601518870948817,
meditators,bygroup,7,5,4,-0.4589284891826812,-0.6276422994413392,-0.04048911359354553,-0.09507933137160288,-0.015977217197395376,-0.011505562987562029,0.1451322506631359,0.1845533098299679,,,3.0,0.8360752233862175,,,2.0,0.9990023569999162,
controls,global,7,5,0,0.6706940035878018,0.1926745446723416,0.217562997417992,0.07160930426405009,-0.008083294654279517,0.02446425851229285,-0.15900859152343425,0.2897139207937288,2.0,0.9756061227857294,,,,,,,
controls,global,7,5,1,-0.7240122880621013,-0.2313806060531919,-0.029832313805642326,-0.07312270201698831,-0.043729009064468964,-0.01522602667005728,-0.09915958319123575,0.17303043716164596,3.0,0.998775504874003,,,,,,,
controls,global,7,5,2,-0.380752470349362,-0.009252140728125876,-0.3569080809347017,0.5360643279026547,-0.31421583187467755,-0.072832933573228,0.1983368844807808,0.20750193463858396,0.0,0.7288663834912565,,,,,,,
controls,global,7,5,3,-0.5319086891756722,0.048703369572779216,0.24244298704853168,-0.4401045475445292,0.3469786635594014,-0.027560529743247165,-0.20110849860027094,0.19533153275211662,1.0,0.9687902610380508,,,,,,,
controls,global,7,5,4,0.7871582572551388,-0.20132984225020734,-0.2676303788611729,-0.2610982577203704,0.056228743634555024,0.11910279922265249,0.4910660494386914,0.1344221746539246,4.0,0.5530358395306451,,,,,,,
controls,bygroup,7,5,0,-0.4277820640469649,0.7648035252494785,-0.3280008642476647,0.12574230318755464,-0.19193874590023802,-0.009709758487931947,-0.12417899236628718,0.1323623313528244,,,,,,,2.0,0.7288663834912565,
controls,bygroup,7,5,1,-0.3983187491440099,-0.10765733229691174,0.3045993846157262,-0.6684508275918858,0.3761723532575675,-0.019002092299920614,-0.1568404008659817,0.17057212554320955,,,,,,,3.0,0.9687902610380508,
controls,bygroup,7,5,2,0.7982557525303601,0.14416349228265476,0.19774934387592233,-0.006777728323151146,0.020743215510489424,0.04590307054785149,0.002853575727360521,0.31787686966623324,,,,,,,0.0,0.9756061227857294,
controls,bygroup,7,5,3,-0.7524318665529525,-0.23611846431037292,-0.010201992713146816,-0.0879266418671412,-0.055814372953850375,0.02712370186437923,-0.0836786557812398,0.17203399766994226,,,,,,,1.0,0.998775504874003,
controls,bygroup,7,5,4,-0.13096232270740218,-0.42449085741241055,-0.35550704913645187,0.527754288773289,-0.16597294138079108,-0.07670890342768023,0.2607694068787838,0.20715467576779054,,,,,,,4.0,0.5530358395306451,
meditators,global,8,4,0,-0.3994407791480082,0.01690666453006662,-0.08708480115274883,-0.11988648560852486,0.620949189995983,-0.15079036142045277,-0.0015883614051430822,0.24306279221980437,1.0,0.7527714747000948,1.0,0.9476423990641731,1.0,0.9869347976853192,,,0.009697618099021638
meditators,global,8,4,1,0.6982345409264945,0.4860680656082532,0.01841757519809025,0.1160407069930862,0.04548589942709282,0.14787649955741547,-0.017259418676245166,0.3353510556416889,0.0,0.9517098084179776,2.0,0.8138659559053862,0.0,0.952044707037141,,,-0.07988836697080592
meditators,global,8,4,2,-0.0875320681025473,-0.3731845341685495,0.08153836894318037,0.03758887576421483,-0.7215364845123035,0.04775507285460384,-0.051435576379053695,0.23460554613834628,2.0,0.9378081971795591,0.0,0.783506503429537,3.0,0.968742697175765,,,0.07614052008245648
meditators,global,8,4,3,-0.6962331967884258,-0.4728606203568841,-0.025026247475187228,-0.11210244629628684,0.020113490313677276,-0.14527792844008078,0.10071006411915219,0.18698060600016045,3.0,0.9568258013525961,3.0,0.7076749361735305,2.0,0.982676463346678,,,0.04243758297987742
meditators,bygroup,8,4,0,0.7528522277873559,0.1353586961118356,0.00023256006619572995,0.08417127394854378,0.03881581616684495,0.049717369705349096,-0.1507143297662515,0.3940798347120919,,,1.0,0.9476423990641731,0.0,0.9092497712765586,1.0,0.9517098084179776,-0.15114115458862262
meditators,bygroup,8,4,1,-0.602877152405185,0.624947605382235,0.07054009243733719,-0.12471307480857557,0.15774240412718987,0.08608950066721245,0.21873817377609228,0.21393167749586656,,,2.0,0.8138659559053862,4.0,0.7343236352717212,0.0,0.7527714747000948,0.12078891250963814
meditators,bygroup,8,4,2,-0.4117263101651062,-0.4027560231449359,-0.012827686888344762,0.04031020347970848,-0.584494694879596,-0.0545395550906856,0.007752095096763545,0.20660478088253828,,,0.0,0.783506503429537,1.0,0.8911181885492978,2.0,0.9378081971795591,0.07190741593701376
meditators,bygroup,8,4,3,-0.6137832643850651,-0.5794219879901797,-0.06691731033468165,-0.10055191939670272,0.38880032264847986,-0.15395693170787225,0.09489874030120407,0.18538370690950318,,,3.0,0.7076749361735305,4.0,0.9293470539302782,3.0,0.9568258013525961,0.1356571574424393
controls,global,8,4,0,-0.758898480156521,0.20789514590104366,0.02439828159493848,0.08661461469762514,0.09603654349560611,0.19370604026746102,-0.0865111765105359,0.15851451638479305,3.0,0.9923829888273699,,,2.0,0.988653967185267,,,-0.056400860582466475
controls,global,8,4,1,0.7891404564197068,-0.10782507137512093,0.0649139104658961,0.04796282941062781,-0.01075393323441574,-0.05609434016936192,-0.03843490586461638,0.3592094792707955,1.0,0.9995807199580777,,,0.0,0.9949021661571242,,,-0.012225808267805041
controls,global,8,4,2,-0.42991172560891266,-0.05356550159274614,0.030427569809722037,0.6153333979787527,-0.17291745661399258,-0.1485926463702822,-0.01713665413793748,0.23290296338989167,0.0,0.9921881444411237,,,4.0,0.9883069061970233,,,0.23309262662189154
controls,global,8,4,3,-0.31514843744117094,0.08115303601615854,-0.14528328311943678,-0.7144452305173868,0.11755310908410457,0.10053323840945724,0.1324827778302691,0.2493730409545198,2.0,0.9948976647966383,,,1.0,0.9027445894165844,,,-0.1650682087100289
controls,bygroup,8,4,0,-0.4393606519836867,0.014614729182779056,-0.07200010306783304,0.6984751956515622,-0.1585104421669134,-0.09885944297337614,-0.05400243166359137,0.21991436231668002,,,,,4.0,0.9951011492914152,2.0,0.9921881444411237,0.2225570008819139
controls,bygroup,8,4,1,0.7416052263005583,-0.1218395558245213,0.07553565744815766,0.03788964063197001,-0.022537160053986045,-0.04912272759939371,-0.049628717143102595,0.37176415258167983,,,,,0.0,0.9905082611774525,1.0,0.9995807199580777,-0.006194313200057666
controls,bygroup,8,4,2,-0.31509120609260177,0.0989486414122143,-0.11893745725964712,-0.6838758428773011,0.10893795048813582,0.025963366602701616,0.18444609397671416,0.2659406672088493,,,,,2.0,0.9559685614088707,3.0,0.9948976647966383,-0.10572815532597521
controls,bygroup,8,4,3,-0.7861340879378351,0.12787309563874,0.11813189629866544,0.11597461119885884,0.09561876880087253,0.2309245226141754,-0.12224919148384317,0.14238081789279072,,,,,1.0,0.9921651738624289,0.0,0.9923829888273699,-0.11791180033984226
meditators,global,8,5,0,0.7620805145954364,0.4520579912973228,-0.19218333875498364,0.38958460407511636,0.062099898042217896,0.07780527077718662,-0.07016009436312824,0.23428744791413228,0.0,0.9082619951838529,3.0,0.7171793458982945,,,,,-0.02741649386418217
meditators,global,8,5,1,-0.34543151560720103,0.1300097953754133,-0.07377344040324088,-0.1601050448822434,0.681165869695061,0.01467445334359542,-0.023952700765647737,0.20462675732338295,4.0,0.9581949937862672,4.0,0.8458375625853329,,,,,0.0729009571930661
meditators,global,8,5,2,-0.7848621741169083,-0.639392497682794,-0.022932003388029424,0.0020324405360593358,0.03829853602620994,-0.3546005463258014,0.1659893033546472,0.1366772716836554,2.0,0.9893249351263718,1.0,0.8032438834726827,,,,,0.09304461137649318
meditators,global,8,5,3,-0.26999931611747396,-0.2737779629798922,-0.03356435330834972,0.17133579013898864,-0.7857347721785757,0.09784253558478055,-0.06636872309224098,0.19644185612408815,1.0,0.9383336776910765,0.0,0.7927285695353098,,,,,0.05366111417540081
meditators,global,8,5,4,0.1903968529513841,0.019176933583235533,0.2972634405410976,-0.3973782383488522,-0.027992206655425327,0.032064501359548754,0.050278993585052084,0.2279666669547412,3.0,0.5213323095307962,2.0,0.7723413420051137,,,,,-0.13088592087369205
meditators,bygroup,8,5,0,0.7475287540060545,0.5515740427421943,-0.14077955968597172,-0.09890565930622999,0.12566438022266202,0.10485506646820285,0.04532525957262682,0.3010555094235018,,,3.0,0.7171793458982945,,,0.0,0.9082619951838529,-0.12638329697257056
meditators,bygroup,8,5,1,-0.2607020834935417,0.19276544641804538,0.22672016558981672,0.33564091780627214,-0.558428527072809,0.11565363688464118,0.05419501901960411,0.22959088304482944,,,4.0,0.8458375625853329,,,3.0,0.9383336776910765,0.14255007469358008
meditators,bygroup,8,5,2,-0.7549455239697574,-0.5691267466632796,-0.1490464986379883,-0.014449645826986279,-0.1533830416908458,-0.2942537665377812,0.0626174025023763,0.12432467642638738,,,1.0,0.8032438834726827,,,2.0,0.9893249351263718,-0.012183049962429525
meditators,bygroup,8,5,3,0.050884041830107016,-0.8162557830363063,-0.009833500229076314,-0.08692391723487189,-0.06192614369977163,-0.12487270714138607,-0.24770784447866226,0.1571184412540311,,,0.0,0.7927285695353098,,,4.0,0.5213323095307962,-0.008154688655868958
meditators,bygroup,8,5,4,-0.5300042638204687,-0.14680256788970716,0.0703442549908453,-0.1654578917145028,0.6368344432177263,-0.029023659712392836,0.019318699497699977,0.18791048985125025,,,2.0,0.7723413420051137,,,1.0,0.9581949937862672,0.05834492968886024
controls,global,8,5,0,0.8407736115987117,-0.1552652527080059,0.1708792747884768,0.09819038771964998,0.0024910989212500005,-0.08339420698077761,-0.053955492422928415,0.3155982218734016,0.0,0.9928635438201097,,,,,,,-0.01711914623721833
controls,global,8,5,1,-0.3651018762669994,0.45545142061327964,-0.08944686091061779,-0.47215649094477125,-0.003830335912857261,0.08687857042735754,-0.017363429870374834,0.1895439771197847,2.0,0.9515225999778014,,,,,,,-0.1709629005088649
controls,global,8,5,2,-0.7123671287042911,0.13590001819610042,0.062482957393485916,0.07036644555535151,0.06690257753366843,0.08643213568370807,-0.02043369914544694,0.1723559126443017,1.0,0.9872472128378512,,,,,,,0.039041584452574385
controls,global,8,5,3,-0.0849528519039959,-0.4232137619683174,-0.4242712084093315,-0.6315437390540382,0.11598485293362906,0.03844517865748166,0.32682529998914106,0.1446373520063744,3.0,0.8314951578455554,,,,,,,-0.01369006584098968
controls,global,8,5,4,-0.44657333574419167,0.018997720194354646,0.048952582488926796,0.7670306008953743,-0.1642919104728906,-0.05129333343801957,-0.12394258926181662,0.17786453635613753,4.0,0.9990596349441984,,,,,,,0.18977732270371728
controls,bygroup,8,5,0,0.798914276048168,-0.32216949506316905,0.056997935041679056,0.09783792848591426,-0.09921614149043993,-0.08094039444173427,-0.11290528460625159,0.29266057105272725,,,,,,,0.0,0.9928635438201097,-0.07774545617462332
controls,bygroup,8,5,1,-0.7944138462003919,0.0790601876068836,0.171955342053935,0.10991353578729834,0.08575855500190979,0.11226422384877094,-0.06831565780887285,0.1284613902581245,,,,,,,2.0,0.9872472128378512,-0.08570065983858573
controls,bygroup,8,5,2,-0.5206446590910575,0.15328414066375798,-0.2229836937683571,-0.563325099657856,0.07979261289870797,0.08546263000177325,0.03805693518043773,0.19194221225573266,,,,,,,1.0,0.9515225999778014,-0.25864388306615516
controls,bygroup,8,5,3,0.18238825413740606,0.29676122665353044,-0.024223393707052253,-0.4170381092862285,0.21074703987550236,0.02693233045896444,0.29252394090012745,0.1861450633101201,,,,,,,3.0,0.8314951578455554,0.22709038988255625
controls,bygroup,8,5,4,-0.462739816200514,0.030282558607407164,0.0280959039462128,0.7157173450654211,-0.18112959467522077,-0.05030995789878486,-0.09915702306557543,0.20079076312329538,,,,,,,4.0,0.9990596349441984,0.20035137238479325
